First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication (YYYY-MM-DD),Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Swiss Federal Office of Public Health, Radiation Protection, 3003 Bern, Switzerland University of Fribourg, 3 Chemin du Musée, 1700 Fribourg, Switzerland","Völkle, H.",unifr,10.1093/rpd/ncl528,https://doi.org/10.1093/rpd/ncl528,http://doc.rero.ch/record/299635/files/ncl528.pdf,Radiation exposure to the population of Europe following the Chernobyl accident,,"Drozdovitch, V.;Bouville, A.;Chobanova, N.;Filistovic, V.;Ilus, T.;Kovacic, M.;Malátová, I.;Moser, M.;Nedveckaite, T.;Völkle, H.;Cardis, E.",2007,Radiation Protection Dosimetry,"International Agency for Research on Cancer, 150 cours Albert-Thomas, 69372 Lyon Cedex 08, France E-mail: drozdovitch@iarc.fr;DHHS, NIH, National Cancer Institute, Division of Cancer Epidemiology and Genetics, EPS 7094, Bethesda, MD 20892, USA;National Center of Radiobiology and Radiation Protection, 132 K. Ohridski Boulevard, Sofia, Bulgaria;Institute of Physics, Savanoriu Avenue 231, Vilnius, Lt-2053, Lithuania;STUK Radiation and Nuclear Safety Authority, P.O. Box 14, FIN-00881 Helsinki, Finland;General Hospital ‘Sveti Duh’, ENT and Head and Neck Surgery Department, Ul. Sv. Duha 64, 10000 Zagreb, Croatia;National Radiation Protection Institute, Šrobárova 48, 10000 Praha 10, Czech Republic;Swiss Federal Office of Public Health, Radiation Protection, 3003 Bern, Switzerland;Institute of Physics, Savanoriu Avenue 231, Vilnius, Lt-2053, Lithuania;Swiss Federal Office of Public Health, Radiation Protection, 3003 Bern, Switzerland University of Fribourg, 3 Chemin du Musée, 1700 Fribourg, Switzerland;International Agency for Research on Cancer, 150 cours Albert-Thomas, 69372 Lyon Cedex 08, France",Oxford University Press,,123,4,515,528,0144-8420,1742-3406,copyright,"© The Author 2006. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093rpdncl528,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rpdncl528&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rpdncl528&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rpdncl528&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"E-mail: mreifenbe@sairgroup.ch Institut de Mathématiques, Université de Fribourg, Pérolles, CH-1700 Fribourg, Switzerland","Reifenberg, M",unifr,10.1093/imanum/20.1.25,https://doi.org/10.1093/imanum/20.1.25,http://doc.rero.ch/record/294494/files/200025.pdf,Numerical solution of boundary integral equations by means of attenuation factors,,"Reifenberg, M;Berrut, J-P",2000,IMA Journal of Numerical Analysis,"E-mail: mreifenbe@sairgroup.ch Institut de Mathématiques, Université de Fribourg, Pérolles, CH-1700 Fribourg, Switzerland;Corresponding author Institut de Mathématiques, Université de Fribourg, Pérolles, CH-1700 Fribourg, Switzerland",Oxford University Press,,20,1,25,46,0272-4979,1464-3642,copyright,Copyright 2000,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093imanum20125,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum20125&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum20125&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093imanum20125&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Department of Biology, Unit of Ecology & Evolution, Chemin du Musée 10, CH-1700 Fribourg, Switzerland","Lexer, Christian",unifr,10.1093/aob/mcr147,https://doi.org/10.1093/aob/mcr147,http://doc.rero.ch/record/300078/files/mcr147.pdf,Pollen–pistil interactions and self-incompatibility in the Asteraceae: new insights from studies of Senecio squalidus (Oxford ragwort),,"Allen, Alexandra M.;Thorogood, Christopher J.;Hegarty, Matthew J.;Lexer, Christian;Hiscock, Simon J.",2011,Annals of Botany,"School of Biological Sciences, University of Bristol, Woodland Road, Bristol BS8 1UG, UK;School of Biological Sciences, University of Bristol, Woodland Road, Bristol BS8 1UG, UK;Institute of Biological, Environmental & Rural Sciences (IBERS), Aberystwyth University, Penglais, Aberystwyth, Ceredigion, SY23 3DA, UK;University of Fribourg, Department of Biology, Unit of Ecology & Evolution, Chemin du Musée 10, CH-1700 Fribourg, Switzerland;School of Biological Sciences, University of Bristol, Woodland Road, Bristol BS8 1UG, UK",Oxford University Press,,108,4,687,698,0305-7364,1095-8290,copyright,"© The Author 2011. Published by Oxford University Press on behalf of the Annals of Botany Company. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093aobmcr147,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr147&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aobmcr147&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Institute of Physiology, University of Fribourg, Switzerland","Schultz, Wolfram",unifr,10.1093/cercor/10.3.205,https://doi.org/10.1093/cercor/10.3.205,http://doc.rero.ch/record/292557/files/0100205.pdf,The Mysterious Orbitofrontal Cortex. Foreword,,"Cavada, Carmen;Schultz, Wolfram",2000,Cerebral Cortex,"Institute of Physiology, University of Fribourg, Switzerland",Oxford University Press,,10,3,205,205,1047-3211,1460-2199,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercor103205,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor103205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor103205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercor103205&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Medicine, Visual Cognition Laboratory, University of Fribourg, Fribourg 1700, Switzerland and","Veit, Julia",unifr,10.1093/cercor/bht133,https://doi.org/10.1093/cercor/bht133,http://doc.rero.ch/record/298416/files/bht133.pdf,On the Relation Between Receptive Field Structure and Stimulus Selectivity in the Tree Shrew Primary Visual Cortex,,"Veit, Julia;Bhattacharyya, Anwesha;Kretz, Robert;Rainer, Gregor",2014,Cerebral Cortex,"Department of Medicine, Visual Cognition Laboratory, University of Fribourg, Fribourg 1700, Switzerland and;Department of Medicine, Visual Cognition Laboratory, University of Fribourg, Fribourg 1700, Switzerland and;Division of Anatomy, University of Fribourg, Fribourg 1700, Switzerland;Department of Medicine, Visual Cognition Laboratory, University of Fribourg, Fribourg 1700, Switzerland and",Oxford University Press,2017-10-01,24,10,2761,2771,1047-3211,1460-2199,copyright,"© The Author 2013. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbht133,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht133&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht133&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht133&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Current address University of Fribourg, Institute of Physiology, Rue du Musée 5, CH-1700 Fribourg, Switzerland","Belhaj-Saïf, Abderraouf",unifr,10.1093/cercor/bhj009,https://doi.org/10.1093/cercor/bhj009,http://doc.rero.ch/record/303976/files/bhj009.pdf,Contrasting Properties of Motor Output from the Supplementary Motor Area and Primary Motor Cortex in Rhesus Macaques,,"Boudrias, Marie-Hélène;Belhaj-Saïf, Abderraouf;Park, Michael C.;Cheney, Paul D.",2006,Cerebral Cortex,"Department of Molecular and Integrative Physiology, University of Kansas Medical Center, Kansas City, KS 66160, USA;Current address University of Fribourg, Institute of Physiology, Rue du Musée 5, CH-1700 Fribourg, Switzerland;Current address Department of Clinical Neurosciences, Program in Neurosurgery, Brown Medical School, Rhode Island Hospital, 593 Eddy Street, Providence, RI, 02903, USA;Department of Molecular and Integrative Physiology, University of Kansas Medical Center, Kansas City, KS 66160, USA",Oxford University Press,,16,5,632,638,1047-3211,1460-2199,copyright,"© The Author 2005. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oupjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhj009,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhj009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhj009&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhj009&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Department of Medicine, Movement and Sport Science, University of Fribourg, 1700 Fribourg, Switzerland","Taube, Wolfgang",unifr,10.1093/cercor/bht359,https://doi.org/10.1093/cercor/bht359,http://doc.rero.ch/record/295311/files/bht359.pdf,Repetitive Activation of the Corticospinal Pathway by Means of rTMS may Reduce the Efficiency of Corticomotoneuronal Synapses,,"Taube, Wolfgang;Leukel, Christian;Nielsen, Jens Bo;Lundbye-Jensen, Jesper",2015,Cerebral Cortex,"Department of Medicine, Movement and Sport Science, University of Fribourg, 1700 Fribourg, Switzerland;Department of Medicine, Movement and Sport Science, University of Fribourg, 1700 Fribourg, Switzerland Department of Sport Science, University of Freiburg, Germany;Department of Nutrition, Exercise and Sports, Department of Neuroscience and Pharmacology, University of Copenhagen, DK-1165 Copenhagen, Denmark;Department of Nutrition, Exercise and Sports, Department of Neuroscience and Pharmacology, University of Copenhagen, DK-1165 Copenhagen, Denmark",Oxford University Press,2018-06-01,25,6,1629,1637,1047-3211,1460-2199,copyright,"© The Author 2014. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbht359,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht359&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht359&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbht359&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Unit of Physiology and Program in Neurosciences, Department of Medicine, Faculty of Sciences, University of Fribourg, CH-1700 Fribourg, Switzerland","Rouiller, E. M.",unifr,10.1093/cercor/bhr104,https://doi.org/10.1093/cercor/bhr104,http://doc.rero.ch/record/293421/files/bhr104.pdf,The Insula of Reil Revisited: Multiarchitectonic Organization in Macaque Monkeys,,"Gallay, D. S.;Gallay, M. N.;Jeanmonod, D.;Rouiller, E. M.;Morel, A.",2012,Cerebral Cortex,"Center for Clinical Research;Center for Clinical Research Current address: Kantonsspital St. Gallen, Klinik für Neurochirurgie, CH-9007 St. Gallen, Switzerland;Department of Functional Neurosurgery, University Hospital Zürich, CH-8091 Zürich, Switzerland;Unit of Physiology and Program in Neurosciences, Department of Medicine, Faculty of Sciences, University of Fribourg, CH-1700 Fribourg, Switzerland;Center for Clinical Research E-mail: anne.morel@usz.ch",Oxford University Press,,22,1,175,190,1047-3211,1460-2199,open-access,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/2.5), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhr104,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhr104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhr104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhr104&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
University of Fribourg,"Dorsch, Fabian",unifr,10.1093/aesthj/ayi039,https://doi.org/10.1093/aesthj/ayi039,http://doc.rero.ch/record/297006/files/ayi039.pdf,Review: Hegel's Theory of Imagination,,"Dorsch, Fabian",2005,The British Journal of Aesthetics,University of Fribourg,Oxford University Press,,45,3,309,311,0007-0904,1468-2842,copyright,© British Society of Aesthetics 2005,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093aesthjayi039,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aesthjayi039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aesthjayi039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093aesthjayi039&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg, Department of Philosophy, Av. de l’Europe 20, 1700 Fribourg, Switzerland E-mail: jiri@benovsky.com","Benovsky, Jiri",unifr,10.1515/mp-2014-0008,https://doi.org/10.1515/mp-2014-0008,http://doc.rero.ch/record/290566/files/mp-2014-0008.pdf,I Am a Lot of Things: A Pluralistic Account of the Self,,"Benovsky, Jiri",2014,Metaphysica,"University of Fribourg, Department of Philosophy, Av. de l’Europe 20, 1700 Fribourg, Switzerland E-mail: jiri@benovsky.com",De Gruyter,,15,1,113,127,1437-2053,1874-6373,copyright,©2014 by Walter de Gruyter Berlin / Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515mp20140008,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515mp20140008&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515mp20140008&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515mp20140008&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"University of Fribourg and CREMA — Center for Research in Economics, Management and the Arts, reiner.eichenberger@unifr.ch E-mail: reiner.eichenberger@unifr.ch","Eichenberger, Reiner",unifr,10.2202/1555-5879.1539,https://doi.org/10.2202/1555-5879.1539,http://doc.rero.ch/record/297364/files/rle.2010.6.3.1539.pdf,How Federalism Protects Future Generations from Today's Public Debts,,"Eichenberger, Reiner;Stadelmann, David",2010,Review of Law & Economics,"University of Fribourg and CREMA — Center for Research in Economics, Management and the Arts, reiner.eichenberger@unifr.ch E-mail: reiner.eichenberger@unifr.ch;University of Fribourg and CREMA — Center for Research in Economics, Management and the Arts, david.stadelmann@unifr.ch E-mail: reiner.eichenberger@unifr.ch",De Gruyter,,6,3,395,420,,1555-5879,copyright,"©2011 Walter de Gruyter GmbH & Co. KG, Berlin/Boston",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter102202155558791539,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202155558791539&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202155558791539&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter102202155558791539&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Physics Department, University of Fribourg, Fribourg, Switzerland","Lebedev, V.",unifr,10.1515/bmt-2012-4195,https://doi.org/10.1515/bmt-2012-4195,http://doc.rero.ch/record/299739/files/bmt-2012-4195.pdf,Imaging of magnetic nanoparticles by atomic magnetometers,,"Lebedev, V.;Castagna, N.;Weis, A.;Michen, B.;Fink, A.;Bison, G.",2012,Biomedical Engineering / Biomedizinische Technik,"Physics Department, University of Fribourg, Fribourg, Switzerland;Physics Department, University of Fribourg, Fribourg, Switzerland;Physics Department, University of Fribourg, Fribourg, Switzerland;Adolphe Merkle Institute, University of Fribourg, Marly, Switzerland;Adolphe Merkle Institute, University of Fribourg, Marly, Switzerland;Biomagnetisches Zentrum, Universitätsklinikum Jena, Jena, Germany",Walter de Gruyter,,57,SI-1 Track-M,756,756,0013-5585,1862-278X,copyright,© 2012 by Walter de Gruyter Berlin Boston,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bmt20124195,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20124195&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20124195&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bmt20124195&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
"Universität Freiburg/Schweiz, Departement für Germanistik, Avenue de l'Europe 20, CH-1700 Fribourg. urs.meyer@unifr.ch E-mail: urs.meyer@unifr.ch","Meyer, Urs",unifr,10.1515/arbi.2008.068,https://doi.org/10.1515/arbi.2008.068,http://doc.rero.ch/record/301368/files/arbi.2008.068.pdf,"Susanne Holmes, Synthesis der Vielheit. Die Begründung der Gattungstheorie bei August Wilhelm Schlegel. 2006",,"Meyer, Urs",2008,Arbitrium,"Universität Freiburg/Schweiz, Departement für Germanistik, Avenue de l'Europe 20, CH-1700 Fribourg. urs.meyer@unifr.ch E-mail: urs.meyer@unifr.ch",Walter de Gruyter GmbH & Co. KG,,26,2,210,213,0723-2977,1865-8849,,,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515arbi2008068,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515arbi2008068&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515arbi2008068&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515arbi2008068&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,It was possible to publish this article open access thanks to a Swiss National Licence with the Publisher
